tripduration,date,start,stop,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
275,4/1/2017,1:24 PM,1:29 PM,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,26212,Subscriber,1985,Female
253,4/1/2017,1:24 PM,1:29 PM,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,29262,Subscriber,1986,Male
274,4/1/2017,1:29 PM,1:33 PM,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,26278,Subscriber,1989,Female
275,4/1/2017,1:29 PM,1:34 PM,3269,Brunswick & 6th,40.72601173,-74.05038893,3186,Grove St PATH,40.71958612,-74.04311746,29245,Subscriber,1992,Male
245,4/1/2017,1:30 PM,1:34 PM,3276,Marin Light Rail,40.71458404,-74.04281706,3275,Columbus Drive,40.7183552,-74.03891444,26212,Subscriber,1984,Male
145,4/1/2017,1:30 PM,1:32 PM,3186,Grove St PATH,40.71958612,-74.04311746,3275,Columbus Drive,40.7183552,-74.03891444,29251,Subscriber,1993,Male
320,4/1/2017,1:31 PM,1:36 PM,3272,Jersey & 3rd,40.72333159,-74.04595256,3275,Columbus Drive,40.7183552,-74.03891444,29256,Subscriber,1989,Male
322,4/1/2017,1:31 PM,1:36 PM,3272,Jersey & 3rd,40.72333159,-74.04595256,3275,Columbus Drive,40.7183552,-74.03891444,26253,Subscriber,1989,Female
186,4/1/2017,1:31 PM,1:34 PM,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,26182,Subscriber,1989,Male
279,4/1/2017,1:31 PM,1:36 PM,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,29236,Subscriber,1976,Male
394,4/1/2017,1:36 PM,1:42 PM,3272,Jersey & 3rd,40.72333159,-74.04595256,3203,Hamilton Park,40.72759597,-74.04424731,29286,Subscriber,1991,Male
